Vuln,test #,detect,patch,time,,,2 iters test****,detect,patch,time,avg,,<- This trial is included in the paper,,,,,,,Vote Times,,Max/Min
,9,,,,,,,y,n,3.17,,,,,,,,,,6293565,,
,10,,,,,,,y,n,3.19,3.14,,,,,,,,,8532170,,
,,,,,,,,,,,,,,,,,,,,6806286,,
bug_floating_point,1,y,y,0.15,,,,y,y,0.26,,,,,,,,,,7197037,,
,2,y,y,0.16,,,,y,y,0.24,,,,,,,,,,9549147,,
,3,y,y,0.15,,,,y,y,0.24,,,,,,,,,,7683221,,
,4,y,y,0.16,,,,y,y,0.49,,,,,,,,,,8577232,,
,5,y,y,0.16,,,,y,y,0.23,,,,,,,,,,9657070,,
,6,y,y,0.15,,,,y,y,0.51,,,,,,,,,,8414828,,
,7,y,y,0.16,,,,y,y,0.52,,,,,,,,,,8877551,,
,8,y,y,0.15,,,,y,y,0.25,,,,,,,,,,7566615,,
,9,y,y,0.15,,,,y,y,2.76,,,,,,,,,,12141613,,
,10,y,y,0.16,,,,y,y,0.49,0.599,,,,,,,,,6854245,,
,,,,,,,,,,,,,,,,,,,,8497155,,
bug_type_casting_2,1,y,n,3.25,,,,y,n,3.24,,Could re-factor to make repairable (probably),,,,,,,,9929081,,
,2,,,,,,,y,n,3.25,,,,,,,,,,9384233,,
,3,,,,,,,y,n,3.19,,,,,,,,,,9580191,,
,4,,,,,,,y,n,3.21,,,,,,,,,,8945572,,
,5,,,,,,,y,n,3.18,,,,,,,,,,9735584,,
,6,,,,,,,y,n,3.2,,,,,,,,,,6377945,,
,7,,,,,,,y,n,3.18,,,,,,,,,,7731190,,
,8,,,,,,,y,n,3.21,,,,,,,,,,9276445,,
,9,,,,,,,y,n,3.25,,,,,,,,,,6300191,,
,10,,,,,,,y,n,3.22,3.213,,,,,,,,,6583872,,
,,,,,,,,,,,,,,,,,,,,8625599,,
,,,,,,,,,,,,,,,,,,,,7287206,,
,,,,,,,,,,,,,,,,,,,,6719411,,
,,,,,,,,,,,Max,,,,,,,,,7942580,,
,,,,,,,,,,,3.48,,,,,,,,,9303732,,
,,,,,,,,,,,,,,,,,,,,7830224,,
,,,,,,,,,,,,,,,,,,,,8107496,,
,,,,,,,,,,,,,,,,,,,,9191365,,
,,,,,,,,,,,,,,,,,,,,8328981,,
,,,,,,,,,,,,,,,,,,,,10958116,,
,,,,,,,,,,,,,,,,,,,,7517050,,
,,,,,,,,,,,,,,,,,,,,7766315,,
,,,,,,,,,,,,,,,,,,,,6854237,,
,,,,,,,,,,,,,,,,,,,,10311600,,
,,,,,,,,,,,,,,,,,,,,9608105,,
,,,,,,,,,,,,,,,,,,,,8104835,,
,,,,,,,,,,,,,,,,,,,,10057880,,
,,,,,,,,,,,,,,,,,,,,9304802,,
,,,,,,,,,,,,,,,,,,,,9176215,,
,,,,,,,,,,,,,,,,,,,,10273369,,
,,,,,,,,,,,,,,,,,,,,8609478,,
,,,,,,,,,,,,,,,,,,,,10368250,,
,,,,,,,,,,,,,,,,,,,,7511993,,
,,,,,,,,,,,,,,,,,,,,8731294,,
,,,,,,,,,,,,,,,,,,,,10720109,,
,,,,,,,,,,,,,,,,,,,,9608766,,
,,,,,,,,,,,,,,,,,,,,10331522,,
,,,,,,,,,,,,,,,,,,,,10697241,,
,,,,,,,,,,,,,,,,,,,,9390791,,
,,,,,,,,,,,,,,,,,,,,9580096,,
,,,,,,,,,,,,,,,,,,,,7856167,,
,,,,,,,,,,,,,,,,,,,,7758781,,
,,,,,,,,,,,,,,,,,,,,10624945,,
,,,,,,,,,,,,,,,,,,,,8962567,,
,,,,,,,,,,,,,,,,,,,,8316838,,
,,,,,,,,,,,,,,,,,,,,9413352,,
,,,,,,,,,,,,,,,,,,,,8412625,,
,,,,,,,,,,,,,,,,,,,,10802380,,
,,,,,,,,,,,,,,,,,,,,8472043,,
,,,,,,,,,,,,,,,,,,,,8524573,,
,,,,,,,,,,,,,,,,,,,,9943389,,
